sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,decile_score,priors_count,two_year_recid
Male,69,Other,0,1,0,0,0,F,Aggravated Assault w/Firearm,0,1,0,0
Male,34,African-American,0,3,0,0,0,F,Felony Battery w/Prior Convict,1,3,0,1
Male,24,African-American,0,4,0,1,4,F,Possession of Cocaine,1,4,4,1
Male,23,African-American,0,8,1,0,1,F,Possession of Cannabis,0,8,1,0
Male,43,Other,0,1,0,0,2,F,arrest case no charge,0,1,2,0
Male,44,Other,0,1,0,0,0,M,Battery,0,1,0,0
Male,41,Caucasian,0,6,0,0,14,F,Possession Burglary Tools,1,6,14,1
Male,43,Other,0,4,0,0,3,F,arrest case no charge,0,4,3,0
Female,39,Caucasian,0,1,0,0,0,M,Battery,0,1,0,0
Male,21,Caucasian,0,3,0,0,1,F,Insurance Fraud,1,3,1,1
Male,27,Caucasian,0,4,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0,4,0,0
Male,23,African-American,0,6,0,0,3,M,Battery,1,6,3,1
Female,37,Caucasian,0,1,0,0,0,M,Battery,0,1,0,0
Male,41,African-American,0,4,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,4,0,0
Female,47,Caucasian,0,1,0,0,1,F,arrest case no charge,1,1,1,1
Male,31,African-American,0,3,0,0,7,F,Felony Driving While Lic Suspd,1,3,7,1
Male,37,Hispanic,0,1,0,0,0,M,Battery,0,1,0,0
Male,25,African-American,0,10,0,0,3,F,Grand Theft in the 3rd Degree,0,10,3,0
Male,31,Caucasian,0,5,0,0,6,F,Driving While License Revoked,1,5,6,1
Male,31,Caucasian,0,3,0,0,5,F,Possession Of Heroin,1,3,5,1
Male,64,African-American,0,6,0,0,13,F,arrest case no charge,1,6,13,1
Male,21,African-American,0,9,0,0,1,F,Battery on Law Enforc Officer,1,9,1,1
Male,27,Caucasian,0,2,0,0,0,M,Possession Of Methamphetamine,1,2,0,1
Female,21,Caucasian,0,4,0,0,0,F,Introduce Contraband Into Jail,0,4,0,0
Male,24,Hispanic,0,4,0,0,1,F,Lewd/Lasc Battery Pers 12+/<16,1,4,1,1
Male,43,Caucasian,0,1,0,0,1,M,Susp Drivers Lic 1st Offense,0,1,1,0
Male,32,Other,0,3,0,0,0,M,Battery,0,3,0,0
Male,27,African-American,0,3,0,0,8,F,Carrying Concealed Firearm,1,3,8,1
Female,36,Caucasian,0,3,0,0,3,F,arrest case no charge,0,3,3,0
Male,26,African-American,0,7,0,1,5,F,Pos Cannabis W/Intent Sel/Del,1,7,5,1
Male,33,African-American,0,10,0,0,0,F,Tampering With Physical Evidence,1,10,0,1
